ensembl,gene_exp,Affinity,Class,disease_score,disgenet_score,pathways,kinaseness
v715,0.0,0.0,0.0,0.0,0.0,125.0,0.0
v188,0.0,0.0,0.0,0.0,0.0,124.0,0.0
v310,0.0,0.0,0.0,0.0,0.0,77.0,0.0
v40,0.0,0.0,0.0,0.0,0.0,89.0,0.0
ENSP00000175756,0.0,0.0,0.0,0.0,0.0,5.0,1.0
ENSP00000176183,-1.0,0.0,0.0,0.0,0.0,68.0,1.0
ENSP00000176763,0.0,7.354482767,2.0,0.0,0.0,76.0,2.0
ENSP00000178640,0.0,7.017728767,2.0,0.0,0.0,109.0,2.0
ENSP00000181839,0.0,0.0,0.0,0.0,0.0,149.0,2.0
v437,0.0,0.0,0.0,0.0,0.0,30.0,0.0
v1065,0.0,0.0,0.0,0.0,0.0,10.0,0.0
v374,0.0,0.0,0.0,0.0,0.0,37.0,0.0
ENSP00000188312,0.0,0.0,0.0,0.0,0.0,60.0,1.0
v149,0.0,0.0,0.0,0.0,0.0,117.0,0.0
v109,0.0,0.0,0.0,0.0,0.0,38.0,0.0
v49,0.0,0.0,0.0,0.0,0.0,73.0,0.0
v209,0.0,0.0,0.0,0.0,0.0,14.0,0.0
v175,0.0,0.0,0.0,0.0,0.0,149.0,0.0
v62,0.0,0.0,0.0,0.0,0.0,7.0,0.0
v269,0.0,0.0,0.0,0.0,0.0,52.0,0.0
ENSP00000199389,0.0,0.0,0.0,0.0,0.0,6.0,2.0
v255,0.0,0.0,0.0,0.0,0.0,30.0,0.0
v89,0.0,0.0,0.0,0.0,0.0,74.0,0.0
v471,0.0,0.0,0.0,0.0,0.0,27.0,0.0
v9,0.0,0.0,0.0,0.0,0.0,84.0,0.0
ENSP00000200457,0.0,0.0,0.0,0.0,0.0,144.0,1.0
v73,0.0,0.0,0.0,0.0,0.0,91.0,0.0
v157,0.0,0.0,0.0,0.0,0.0,60.0,0.0
v158,0.0,0.0,0.0,0.0,0.0,80.0,0.0
v350,0.0,0.0,0.0,0.0,0.0,100.0,0.0
v526,0.0,0.0,0.0,0.0,0.0,17.0,0.0
v322,0.0,0.0,0.0,0.0,0.0,161.0,0.0
v59,0.0,0.0,0.0,0.0,0.0,124.0,0.0
v169,0.0,0.0,0.0,0.0,0.0,2.0,0.0
v510,0.0,0.0,0.0,0.0,0.0,66.0,0.0
v106,0.0,0.0,0.0,0.0,0.0,88.0,0.0
v117,0.0,0.0,0.0,0.0,0.0,19.0,0.0
v663,0.0,0.0,0.0,0.0,0.0,103.0,0.0
v136,0.0,0.0,0.0,0.0,0.0,129.0,0.0
v967,0.0,0.0,0.0,0.0,0.0,5.0,0.0
v207,0.0,0.0,0.0,0.0,0.0,227.0,0.0
v15,0.0,0.0,0.0,0.0,0.0,81.0,0.0
v989,0.0,0.0,0.0,0.0,0.0,65.0,0.0
ENSP00000206595,1.0,0.0,0.0,0.0,0.0,61.0,1.0
v273,0.0,0.0,0.0,0.0,0.0,198.0,0.0
v256,0.0,0.0,0.0,0.0,0.0,134.0,0.0
v270,0.0,0.0,0.0,0.0,0.0,34.0,0.0
v466,1.0,0.0,0.0,0.0,0.0,11.0,0.0
ENSP00000210060,0.0,0.0,0.0,0.0,0.0,24.0,1.0
ENSP00000211076,0.0,0.0,0.0,0.0,0.0,138.0,1.0
ENSP00000211287,0.0,4.908958725,0.0,0.0,0.0,251.0,2.0
v986,0.0,0.0,0.0,0.0,0.0,153.0,0.0
v150,0.0,0.0,0.0,0.0,0.0,49.0,0.0
v874,0.0,0.0,0.0,0.0,0.0,47.0,0.0
v61,0.0,0.0,0.0,0.0,0.0,86.0,0.0
v521,0.0,0.0,0.0,0.0,0.0,273.0,0.0
ENSP00000215659,0.0,4.886652678,0.0,0.0,0.0,251.0,2.0
v56,0.0,0.0,0.0,0.0,0.0,130.0,0.0
v48,0.0,0.0,0.0,0.0,0.0,132.0,0.0
v382,0.0,0.0,0.0,0.0,0.0,25.0,0.0
ENSP00000215832,0.0,4.58672472,0.0,0.0,0.0,109.0,2.0
v560,0.0,0.0,0.0,0.0,0.0,67.0,0.0
ENSP00000215862,0.0,0.0,0.0,0.0,0.0,118.0,1.0
v440,0.0,0.0,0.0,0.0,0.0,120.0,0.0
ENSP00000215912,0.0,0.0,0.0,0.0,0.0,0.0,1.0
v582,0.0,0.0,0.0,0.0,0.0,41.0,0.0
v219,0.0,0.0,0.0,0.0,0.0,39.0,0.0
v80,0.0,0.0,0.0,0.0,0.0,55.0,0.0
v307,0.0,0.0,0.0,0.0,0.0,106.0,0.0
v214,0.0,0.0,0.0,0.0,0.0,132.0,0.0
ENSP00000216071,0.0,0.0,0.0,0.0,0.0,63.0,1.0
v574,0.0,0.0,0.0,0.0,0.0,129.0,0.0
ENSP00000216121,0.0,0.0,0.0,0.0,0.0,45.0,1.0
v34,0.0,0.0,0.0,0.0,0.0,87.0,0.0
v166,0.0,0.0,0.0,0.0,0.0,281.0,0.0
v35,0.0,0.0,0.0,0.0,0.0,20.0,0.0
ENSP00000216144,0.0,0.0,0.0,0.0,0.0,0.0,1.0
v98,0.0,0.0,0.0,0.0,0.0,49.0,0.0
v833,0.0,0.0,0.0,0.0,0.0,3.0,0.0
v357,0.0,0.0,0.0,0.0,0.0,161.0,0.0
ENSP00000216274,0.0,0.0,0.0,0.0,0.0,109.0,2.0
v283,0.0,0.0,0.0,0.0,0.0,30.0,0.0
ENSP00000216330,1.0,0.0,0.0,0.0,0.0,120.0,1.0
v588,0.0,0.0,0.0,0.0,0.0,129.0,0.0
v483,0.0,0.0,0.0,0.0,0.0,19.0,0.0
ENSP00000216366,1.0,0.0,0.0,0.0,0.0,10.0,1.0
v97,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v461,0.0,0.0,0.0,0.0,0.0,150.0,0.0
v1111,0.0,0.0,0.0,0.0,0.0,113.0,0.0
ENSP00000216639,0.0,4.176095602,0.0,0.0,0.0,108.0,2.0
v516,0.0,0.0,0.0,0.0,0.0,42.0,0.0
ENSP00000216807,1.0,0.0,0.0,0.0,0.0,210.0,1.0
ENSP00000216832,1.0,0.0,0.0,0.0,0.0,105.0,1.0
ENSP00000216911,0.0,5.672021265,0.0,0.0,0.0,61.0,2.0
ENSP00000216923,0.0,0.0,0.0,0.0,0.0,209.0,1.0
v343,0.0,0.0,0.0,0.0,0.0,236.0,0.0
ENSP00000217121,-1.0,0.0,0.0,0.0,0.0,60.0,1.0
ENSP00000217188,0.0,5.08189166,0.0,0.0,0.0,108.0,2.0
ENSP00000217233,0.0,0.0,0.0,0.0,0.0,6.0,2.0
ENSP00000217244,0.0,4.950612359,0.0,0.0,0.0,132.0,2.0
v366,0.0,0.0,0.0,0.0,0.0,65.0,0.0
ENSP00000217320,0.0,0.0,0.0,0.0,0.0,3.0,1.0
ENSP00000217372,0.0,0.0,0.0,0.0,0.0,210.0,1.0
v128,0.0,0.0,0.0,0.0,0.0,140.0,0.0
v552,0.0,0.0,0.0,0.0,0.0,77.0,0.0
v318,-1.0,0.0,0.0,0.0,0.0,91.0,0.0
v1154,0.0,0.0,0.0,0.0,0.0,297.0,0.0
v66,0.0,0.0,0.0,0.0,0.0,142.0,0.0
v190,0.0,0.0,0.0,0.0,0.0,22.0,0.0
v145,0.0,0.0,0.0,0.0,0.0,50.0,0.0
v1,0.0,0.0,0.0,0.0,0.0,6.0,0.0
v132,0.0,0.0,0.0,0.0,0.0,11.0,0.0
ENSP00000218006,0.0,0.0,0.0,0.0,0.0,89.0,2.0
v815,0.0,0.0,0.0,0.0,0.0,103.0,0.0
ENSP00000218068,0.0,0.0,0.0,0.0,0.0,109.0,1.0
v383,0.0,0.0,0.0,0.0,0.0,46.0,0.0
v712,0.0,0.0,0.0,0.0,0.0,55.0,0.0
ENSP00000218436,0.0,0.0,0.0,0.0,0.0,162.0,1.0
v152,0.0,0.0,0.0,0.0,0.0,29.0,0.0
v704,0.0,0.0,0.0,0.0,0.0,293.0,0.0
v321,0.0,0.0,0.0,0.0,0.0,114.0,0.0
v86,0.0,0.0,0.0,0.0,0.0,44.0,0.0
v394,0.0,0.0,0.0,0.0,0.0,31.0,0.0
v6,0.0,0.0,0.0,0.0,0.0,114.0,0.0
v174,0.0,0.0,0.0,0.0,0.0,19.0,0.0
v107,0.0,0.0,0.0,0.0,0.0,147.0,0.0
v355,-1.0,0.0,0.0,0.0,0.0,89.0,0.0
v770,0.0,0.0,0.0,0.0,0.0,124.0,0.0
v477,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v297,0.0,0.0,0.0,0.0,0.0,108.0,0.0
v141,0.0,0.0,0.0,0.0,0.0,83.0,0.0
v284,0.0,0.0,0.0,0.0,0.0,128.0,0.0
ENSP00000219689,0.0,0.0,0.0,0.0,0.0,281.0,1.0
v443,0.0,0.0,0.0,0.0,0.0,63.0,0.0
v551,0.0,0.0,0.0,0.0,0.0,87.0,0.0
ENSP00000220003,0.0,4.7984560919999995,0.0,0.0,0.0,5.0,2.0
